path,original_category,corrected_category,original_priority,corrected_priority,evidence_type,use_in_public_docs,use_in_submission_docs,reason,key_points,metric_candidates,sensitive_risk,notes
docs/airline-logo-manifest.json,frontend_ui_ux,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,exclude_internal_log,review,review,manual follow-up recommended,,true,false,
docs/airline-logo-sha256.txt,frontend_ui_ux,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,exclude_internal_log,review,review,manual follow-up recommended,,false,false,
docs/eda/eda_report.md,roundtrip_support,eda_analysis,P1_supporting_evidence,P1_supporting_evidence,eda,yes,yes,EDA background evidence,price variation and data quality,true,false,
docs/eda/eda_report.pdf,eda_analysis,eda_analysis,P1_supporting_evidence,P1_supporting_evidence,eda,yes,yes,EDA background evidence,price variation and data quality,false,false,
docs/modeling/final_modeling_summary_clean_v1.md,roundtrip_support,modeling_label_evaluation,P1_supporting_evidence,P0_core_evidence,model_design,yes,yes,core model and label evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/modeling/label_design.md,modeling_label_evaluation,modeling_label_evaluation,P1_supporting_evidence,P0_core_evidence,label_design,yes,yes,core model and label evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/modeling/label_design.pdf,modeling_label_evaluation,modeling_label_evaluation,P1_supporting_evidence,P0_core_evidence,label_design,yes,yes,core model and label evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",false,false,
docs/phase_11c_login_savedlist_app_icon.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",false,false,
docs/phase_11c_login_savedlist_ui.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_11d_1_model_info_auto_metadata.md,apk_mobile,frontend_ui_ux,P0_core_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_11d_model_info_ui.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",false,false,
docs/phase_11e_1_card_readability_kst_date_hotfix.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_11e_search_result_summary_card_ui.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_12a_2_launcher_splash_resource.md,apk_mobile,apk_mobile,P1_supporting_evidence,P1_supporting_evidence,apk_mobile,yes,yes,mobile packaging evidence,"Capacitor APK, icons, splash, signed release",true,false,
docs/phase_13_1_model_runtime_artifact_contract.md,frontend_ui_ux,modeling_label_evaluation,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,model diagnosis and experiment decision evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_13_4_label_metric_threshold_decision.md,deployment_infra,modeling_label_evaluation,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,model diagnosis and experiment decision evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_13_5_retraining_experiment_design.md,frontend_ui_ux,modeling_label_evaluation,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,model diagnosis and experiment decision evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_13_model_improvement_plan.md,apk_mobile,modeling_label_evaluation,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,model diagnosis and experiment decision evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_14_0_1_split_readiness_optimization.md,frontend_ui_ux,model_training_retraining,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,threshold and candidate validation evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_14_0_data_label_split_readiness.md,frontend_ui_ux,model_training_retraining,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,threshold and candidate validation evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_14_1a_1_full_baseline_scoring.md,frontend_ui_ux,model_training_retraining,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,threshold and candidate validation evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_14_1a_2_large_sample_baseline_scoring.md,roundtrip_support,model_training_retraining,P1_supporting_evidence,P0_core_evidence,evaluation,yes,yes,threshold and candidate validation evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_14_1a_baseline_scoring.md,frontend_ui_ux,model_training_retraining,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,threshold and candidate validation evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_14_2_threshold_recalibration.md,frontend_ui_ux,model_training_retraining,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,threshold and candidate validation evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_14_3_threshold_stability_audit.md,frontend_ui_ux,model_training_retraining,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,threshold and candidate validation evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_14_4_probability_diagnostic.md,frontend_ui_ux,model_training_retraining,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,threshold and candidate validation evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_14_5b_stage2_target_ablation_design.md,roundtrip_support,model_training_retraining,P1_supporting_evidence,P0_core_evidence,evaluation,yes,yes,threshold and candidate validation evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_14_6a_stage2_ablation_smoke.md,roundtrip_support,model_training_retraining,P1_supporting_evidence,P0_core_evidence,evaluation,yes,yes,threshold and candidate validation evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_15c_1_model_version_response_consistency.md,deployment_infra,model_training_retraining,P0_core_evidence,P0_core_evidence,retraining,yes,yes,staging package and runtime smoke evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_16e_1_ui_polish_manual_smoke.md,apk_mobile,model_training_retraining,P0_core_evidence,P0_core_evidence,retraining,yes,yes,final retrain live switch or UI polish evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_16e_2_price_drop_gauge_threshold_marker.md,apk_mobile,model_training_retraining,P0_core_evidence,P0_core_evidence,retraining,yes,yes,final retrain live switch or UI polish evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_7_11_roundtrip_frontend_contract.md,frontend_ui_ux,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_7_12_roundtrip_frontend_limited_impl.md,frontend_ui_ux,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",false,false,
docs/phase_7_5_roundtrip_feature_builder_smoke.md,frontend_ui_ux,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_7_6_roundtrip_builder_batch_validation.md,frontend_ui_ux,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_7_7_roundtrip_predict_one_contract.md,frontend_ui_ux,roundtrip_support,P0_core_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_7_9_roundtrip_offer_source_contract.md,frontend_ui_ux,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_8_1_uiux_frontend_mapping.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_8_2a_core_ux_impl.md,apk_mobile,frontend_ui_ux,P0_core_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_8_2b_0_airline_branding_audit.md,frontend_ui_ux,backend_api_serving,P1_supporting_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",false,false,
docs/phase_8_2b_0_logo_asset_download.md,frontend_ui_ux,backend_api_serving,P1_supporting_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",true,false,
docs/phase_8_2b_0_logo_recovery.md,frontend_ui_ux,backend_api_serving,P1_supporting_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",false,false,
docs/phase_8_2b_branding_card_emphasis_impl.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_9_10a_route_analysis_all_mvp_routes_design.md,frontend_ui_ux,backend_api_serving,P1_supporting_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",true,false,
docs/phase_9_10c_1_analysis_navigation_cleanup.md,apk_mobile,backend_api_serving,P1_supporting_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",false,false,
docs/phase_9_10d_search_context_analysis_navigation.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",false,false,
docs/phase_9_11a_1_roundtrip_prediction_badge_layout_hotfix.md,apk_mobile,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",false,false,
docs/phase_9_11a_2_roundtrip_analyze_job.md,apk_mobile,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",false,false,
docs/phase_9_11a_roundtrip_prediction_alignment.md,apk_mobile,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",false,false,
docs/phase_9_11b_0_roundtrip_history_backend.md,frontend_ui_ux,roundtrip_support,P0_core_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_9_11b_roundtrip_price_trend_frontend.md,apk_mobile,roundtrip_support,P0_core_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_9_11c_1_scroll_restoration_hotfix.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",false,false,
docs/phase_9_11c_sticky_header_hotfix.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_9_1_roundtrip_realtime_observation_path_audit.md,deployment_infra,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_9_2_roundtrip_refresh_job_contract.md,frontend_ui_ux,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_9_3_roundtrip_refresh_job_limited_impl.md,frontend_ui_ux,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_9_4_latest_candidates_history_cache_contract.md,frontend_ui_ux,backend_api_serving,P1_supporting_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",true,false,
docs/phase_9_6e_hotfix_operational_error_diagnostics.md,deployment_infra,backend_api_serving,P0_core_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",true,false,
docs/phase_9_6f_roundtrip_refresh_stability_progressive_update.md,apk_mobile,roundtrip_support,P1_supporting_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_9_7_roundtrip_refresh_polling_frontend.md,apk_mobile,roundtrip_support,P0_core_evidence,P1_supporting_evidence,roundtrip_support,yes,yes,roundtrip support evidence,"roundtrip candidates, feature, prediction, history",true,false,
docs/phase_9_8b_2_frontend_refresh_status_cleanup.md,apk_mobile,frontend_ui_ux,P0_core_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_9_8b_refresh_global_lane_guard_contract.md,apk_mobile,backend_api_serving,P1_supporting_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",true,false,
docs/phase_9_8c_2_oneway_candidates_backend_impl.md,apk_mobile,backend_api_serving,P0_core_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",true,false,
docs/phase_9_8d_4_oneway_refresh_polling_frontend.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_9_8d_4b_source_mode_toggle.md,deployment_infra,backend_api_serving,P0_core_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",true,false,
docs/phase_9_8d_4c_source_toggle_analysis_persistence.md,frontend_ui_ux,backend_api_serving,P1_supporting_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",true,false,
docs/phase_9_8d_oneway_db_first_frontend.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_9_8f_apk_native_shell_layout.md,apk_mobile,backend_api_serving,P1_supporting_evidence,P1_supporting_evidence,backend_serving,yes,yes,API or feature serving evidence,"API, candidates, history, refresh, route analysis",true,false,
docs/repo_cleanup_inventory.md,public_release_cleanup,public_release_cleanup,P1_supporting_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_phase1_build_check.md,public_release_cleanup,public_release_cleanup,P1_supporting_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_phase1_copy_manifest.csv,public_release_cleanup,public_release_cleanup,P0_core_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,true,false,
docs/repo_cleanup_phase1_gitignore_applied.txt,public_release_cleanup,public_release_cleanup,P1_supporting_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_phase1_hard_residual_scan.csv,public_release_cleanup,public_release_cleanup,P1_supporting_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_phase1_large_file_scan.csv,public_release_cleanup,public_release_cleanup,P1_supporting_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_phase1_large_file_summary.md,public_release_cleanup,public_release_cleanup,P1_supporting_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_phase1_readme_check.md,public_release_cleanup,public_release_cleanup,P0_core_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_phase1_redaction_hits.csv,public_release_cleanup,public_release_cleanup,P0_core_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,true,false,
docs/repo_cleanup_phase1_redaction_summary.md,public_release_cleanup,public_release_cleanup,P1_supporting_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_phase1_review_required.csv,public_release_cleanup,public_release_cleanup,P1_supporting_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_phase1_secret_scan_summary.md,public_release_cleanup,public_release_cleanup,P0_core_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_phase1_source_status.txt,public_release_cleanup,public_release_cleanup,P1_supporting_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,true,false,
docs/repo_cleanup_phase1_summary.md,public_release_cleanup,public_release_cleanup,P0_core_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/repo_cleanup_summary.txt,public_release_cleanup,public_release_cleanup,P0_core_evidence,P1_supporting_evidence,public_release,yes,yes,public release cleanup evidence,public private boundary and repo cleanup,false,false,
docs/v0.1/anchor.docx,planning_problem_definition,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",false,false,
docs/v0.1/checklist.md,frontend_ui_ux,planning_problem_definition,P1_supporting_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",false,false,
docs/v0.2/data strategy summary.md,backend_api_serving,db_schema_storage,P1_supporting_evidence,P1_supporting_evidence,db_schema_storage,yes,yes,early data and schema evidence,observation storage and schema,false,false,
docs/v0.2/endpoint observations and roles revised.md,backend_api_serving,planning_problem_definition,P1_supporting_evidence,P2_background,problem_definition,yes,yes,early project background,"project scope, MVP, user problem",true,false,
docs/v0.2/next steps checklist.md,backend_api_serving,planning_problem_definition,P1_supporting_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",false,false,
docs/v0.2/target airlines and booking windows revised 366.md,frontend_ui_ux,planning_problem_definition,P1_supporting_evidence,P2_background,problem_definition,yes,yes,early project background,"project scope, MVP, user problem",true,false,
docs/v0.2.1/data strategy summary_revised.md,backend_api_serving,db_schema_storage,P1_supporting_evidence,P1_supporting_evidence,db_schema_storage,yes,yes,early data and schema evidence,observation storage and schema,false,false,
docs/v0.2.1/endpoint observations and roles revised_revised.md,backend_api_serving,planning_problem_definition,P1_supporting_evidence,P2_background,problem_definition,yes,yes,early project background,"project scope, MVP, user problem",true,false,
docs/v0.2.1/next steps checklist_revised.md,backend_api_serving,planning_problem_definition,P1_supporting_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",false,false,
docs/v0.2.1/project_anchor.md,frontend_ui_ux,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.2.1/target airlines and booking windows revised 366_revised.md,frontend_ui_ux,planning_problem_definition,P1_supporting_evidence,P2_background,problem_definition,yes,yes,early project background,"project scope, MVP, user problem",true,false,
docs/v0.3/anchor.md,roundtrip_support,planning_problem_definition,P1_supporting_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",false,false,
docs/v0.3/api_strategy.md,roundtrip_support,planning_problem_definition,P1_supporting_evidence,P2_background,problem_definition,yes,yes,early project background,"project scope, MVP, user problem",true,false,
docs/v0.3/baseline.md,modeling_label_evaluation,planning_problem_definition,P1_supporting_evidence,P2_background,problem_definition,yes,yes,early project background,"project scope, MVP, user problem",true,false,
docs/v0.3/checklist.md,frontend_ui_ux,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.4/anchor.md,backend_api_serving,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",false,false,
docs/v0.4/baseline.md,backend_api_serving,planning_problem_definition,P1_supporting_evidence,P2_background,problem_definition,yes,yes,early project background,"project scope, MVP, user problem",false,false,
docs/v0.4/checklist.md,backend_api_serving,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.4/data_pipeline.md,roundtrip_support,db_schema_storage,P1_supporting_evidence,P1_supporting_evidence,db_schema_storage,yes,yes,early data and schema evidence,observation storage and schema,true,false,
docs/v0.4/product.md,frontend_ui_ux,planning_problem_definition,P1_supporting_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",false,false,
docs/v0.4/research.md,backend_api_serving,planning_problem_definition,P1_supporting_evidence,P2_background,problem_definition,yes,yes,early project background,"project scope, MVP, user problem",false,false,
docs/v0.4/schema.md,roundtrip_support,db_schema_storage,P1_supporting_evidence,P1_supporting_evidence,db_schema_storage,yes,yes,early data and schema evidence,observation storage and schema,true,false,
docs/v0.4.1/anchor.md,frontend_ui_ux,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.4.1/checklist.md,frontend_ui_ux,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.4.1/schema.md,roundtrip_support,db_schema_storage,P1_supporting_evidence,P1_supporting_evidence,db_schema_storage,yes,yes,early data and schema evidence,observation storage and schema,true,false,
docs/v0.4.3/anchor.md,deployment_infra,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.4.3/checklist.md,deployment_infra,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.4.3/frontend-structure.md,apk_mobile,planning_problem_definition,P1_supporting_evidence,P2_background,problem_definition,yes,yes,early project background,"project scope, MVP, user problem",false,false,
docs/v0.4.3/product.md,apk_mobile,planning_problem_definition,P1_supporting_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",false,false,
docs/v0.4.3/schema.md,roundtrip_support,db_schema_storage,P1_supporting_evidence,P1_supporting_evidence,db_schema_storage,yes,yes,early data and schema evidence,observation storage and schema,true,false,
docs/v0.5/anchor.md,deployment_infra,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.5/checklist.md,deployment_infra,planning_problem_definition,P1_supporting_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.5.1/anchor.md,deployment_infra,planning_problem_definition,P0_core_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.5.1/checklist.md,deployment_infra,planning_problem_definition,P1_supporting_evidence,P1_supporting_evidence,problem_definition,yes,yes,early planning evidence,"project scope, MVP, user problem",true,false,
docs/v0.5.1/history.md,deployment_infra,planning_problem_definition,P1_supporting_evidence,P2_background,problem_definition,yes,yes,early project background,"project scope, MVP, user problem",true,false,
docs/v1.0.0/anchor.md,apk_mobile,planning_problem_definition,P0_core_evidence,P0_core_evidence,problem_definition,yes,yes,phase close and final planning evidence,"project scope, MVP, user problem",false,false,
docs/v1.0.0/checklist.md,apk_mobile,planning_problem_definition,P0_core_evidence,P0_core_evidence,problem_definition,yes,yes,phase close and final planning evidence,"project scope, MVP, user problem",true,false,
docs/v1.0.0/history.md,apk_mobile,planning_problem_definition,P0_core_evidence,P0_core_evidence,problem_definition,yes,yes,phase close and final planning evidence,"project scope, MVP, user problem",false,false,
docs/v1.0.0/README.md,apk_mobile,planning_problem_definition,P0_core_evidence,P0_core_evidence,problem_definition,yes,yes,phase close and final planning evidence,"project scope, MVP, user problem",false,false,
